host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
9606.0,Homo sapiens,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Orthohepadnavirus hominoidei,dsDNA-RT
9606.0,Homo sapiens,Riboviria,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Hepacivirus,,+ssRNA
9606.0,Homo sapiens,Riboviria,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Hepacivirus,Hepacivirus hominis,+ssRNA
9606.0,Homo sapiens,Ribozyviria,Ribozyviria incertae sedis,Kolmioviridae,Deltavirus,Deltavirus italiense,,,,
9606.0,Homo sapiens,Ribozyviria,Ribozyviria incertae sedis,Kolmioviridae,Deltavirus,Deltavirus japanense,,,,
9606.0,Homo sapiens,Ribozyviria,Ribozyviria incertae sedis,Kolmioviridae,Deltavirus,Deltavirus taiwanense,,,,
9606.0,Homo sapiens,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Hepeviridae,unclassified Hepeviridae,,+ssRNA
9606.0,Homo sapiens,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Hepeviridae,Orthohepevirinae,Paslahepevirus,+ssRNA
9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Heptrevirinae,Hepatovirus,
9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,unclassified Mamastrovirus,
9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus,unclassified Vesivirus,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Endolinaviridae,Hudisavirus,,
9606.0,Homo sapiens,unclassified viruses,,,,,,,,
9606.0,Homo sapiens,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,dsDNA
9606.0,Homo sapiens,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,dsDNA
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Cyclovirus humana,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemyvongvirus,Gemyvongvirus humas1,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae,Huchismacovirus,Huchismacovirus humas1,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae,Huchismacovirus,Huchismacovirus humas2,
